,Kecamatan                                       ,Laki -Laki TK,perempuan TK,Laki -Laki RA,perempuan RA,Laki -Laki SD,perempuan SD,Laki -Laki MI,perempuan MI,Laki -Laki SMP,perempuan SMP,Laki -Laki MTS,perempuan MTS,Laki -Laki SMA,perempuan SMA,Laki -Laki SMK,perempuan SMK,Laki -Laki MA,perempuan MA,jumlah_siswa_per_kecamatan
1,Wonotunggal,294,253,44,34,1479,1466,373,312,481,944,102,100,214,283,0,0,0,0,6379
2,Bandar,545,456,192,190,2452,2237,1213,1110,881,1664,445,470,232,489,705,458,32,38,13809
3,Blado,219,210,129,116,1977,1804,459,435,704,1298,404,368,0,0,594,359,0,0,9076
4,Reban,419,406,46,43,1640,1496,346,358,555,1063,86,109,0,0,49,41,0,0,6657
5,Bawang,290,291,100,125,2305,2061,404,378,770,1436,481,504,250,451,982,590,176,271,11865
6,Tersono,483,462,65,74,1265,1149,650,626,445,892,322,301,106,147,0,0,0,0,6987
7,Gringsing,506,474,233,214,2039,1757,1150,1089,1101,2048,309,296,303,510,126,95,57,30,12337
8,Limpung,619,525,82,79,1680,1394,669,581,734,1482,398,456,51,21,668,756,251,311,10757
9,Banyuputih,512,494,178,171,1500,1294,575,515,262,338,381,352,40,45,382,231,274,351,7895
10,Subah,360,329,101,81,1924,1760,617,577,704,1298,601,949,305,733,309,363,134,307,11452
11,Pecalungan,247,209,59,85,974,989,360,311,348,686,108,117,0,0,84,60,0,0,4637
12,Tulis,532,510,28,29,1854,1707,88,93,543,947,61,41,0,0,88,32,0,0,6553
13,Kandeman,610,558,12,16,2335,2102,438,483,991,1698,52,50,0,0,1073,423,0,0,10841
14,Batang,1595,1521,283,240,6197,5909,648,548,2695,5221,347,314,770,1281,1425,1861,290,508,31653
15,Warungasem,379,353,247,230,1767,1608,889,804,617,1257,272,313,0,0,686,294,36,56,9808
